Title,Year,Genre,Country,imdbRating,imdbVotes,imdbID,Year2,imdbRating2
Zeg 'ns Aaa,1981–1993,Comedy,Netherlands,6.6,153,tt0062614,1981,66
Catweazle,1970–1971,"Adventure, Comedy, Family",UK,7.9,623,tt0063881,1970,79
UFO,1970–1973,"Action, Sci-Fi",UK,8,"2,333",tt0063962,1970,80
All My Children,1970–2011,"Drama, Romance, Mystery",USA,6.7,"2,128",tt0065272,1970,67
Archie's Funhouse,1970–1971,"Animation, Comedy, Family",USA,7.6,119,tt0065273,1970,76
Budgie,1971–1972,Drama,UK,7.9,133,tt0065279,1971,79
The Bugaloos,1970–1972,"Family, Fantasy",USA,7,330,tt0065280,1970,70
Dan August,1970–1971,"Crime, Drama",USA,7.1,175,tt0065286,1970,71
Doomwatch,1970–2016,"Sci-Fi, Drama",UK,7.3,110,tt0065290,1970,73
Flip,1970–1974,"Comedy, Music",USA,7.3,801,tt0065294,1970,73
The Goodies,1970–1982,Comedy,UK,7.8,"1,150",tt0065296,1970,78
Harlem Globe Trotters,1970–1973,"Animation, Family, Sport",USA,6.4,94,tt0065298,1970,64
Josie and the Pussycats,1970–1972,"Animation, Comedy, Family",USA,6.3,"1,363",tt0065307,1970,63
Lancelot Link: Secret Chimp,1970–,"Adventure, Comedy, Family",USA,7.7,260,tt0065309,1970,77
Nase malo misto,1970–,,Yugoslavia,8.9,622,tt0065313,1970,89
Mary Tyler Moore,1970–1977,Comedy,USA,8.1,"5,878",tt0065314,1970,81
McCloud,1970–1977,"Action, Crime, Drama, Mystery, Thriller",USA,7,"2,257",tt0065317,1970,70
NFL Monday Night Football,1970–,Sport,USA,8.4,"1,096",tt0065323,1970,84
Nanny and the Professor,1970–1971,"Comedy, Fantasy",USA,7.2,533,tt0065326,1970,72
The Odd Couple,1970–1975,Comedy,USA,7.9,"4,485",tt0065329,1970,79
The Partridge Family,1970–1974,"Comedy, Family, Music",USA,6.5,"2,902",tt0065333,1970,65
Sabrina and the Groovie Goolies,1970–1971,"Animation, Family, Fantasy",USA,7.7,198,tt0065342,1970,77
Die Sendung mit der Maus,1971–,"Animation, Family","West Germany, Germany",8.1,524,tt0065345,1971,81
Alias Smith and Jones,1971–1973,Western,USA,7.7,"1,416",tt0066625,1971,77
All in the Family,1971–1979,"Comedy, Drama",USA,8.3,"12,441",tt0066626,1971,83
The Beachcombers,1972–2004,"Adventure, Comedy",Canada,7.5,429,tt0066630,1972,75
Bearcats!,1971,Adventure,USA,7.9,128,tt0066631,1971,79
Bless This House,1971–1976,Comedy,UK,7,617,tt0066633,1971,70
Cade's County,1971–1972,"Action, Crime, Drama",USA,7.1,149,tt0066635,1971,71
Cannon,1971–1976,"Action, Crime, Drama, Mystery",USA,6.8,"2,214",tt0066636,1971,68
Doctor at Large,1971–,Comedy,UK,7.4,179,tt0066648,1971,74
The Electric Company,1971–1977,"Family, Comedy",USA,8.2,"1,280",tt0066651,1971,82
The Funky Phantom,1971–,"Animation, Family, Fantasy, History","Australia, USA",6.5,129,tt0066656,1971,65
Help!... It's the Hair Bear Bunch!,1971–,"Animation, Comedy, Family",USA,6.4,485,tt0066667,1971,64
Here Come the Double Deckers!,1970–,"Family, Comedy",UK,7.5,170,tt0066669,1970,75
The Hilarious House of Frightenstein,1971–,"Comedy, Family",Canada,8.3,548,tt0066670,1971,83
Jackson 5ive,1971–1973,"Animation, Family, Music",USA,6.8,163,tt0066671,1971,68
Jason King,1971–1972,"Action, Adventure",UK,7,223,tt0066672,1971,70
The Jimmy Stewart Show,1971–1972,Comedy,USA,7.6,156,tt0066673,1971,76
Lidsville,1971–1973,"Adventure, Comedy, Family, Fantasy",USA,7.2,296,tt0066679,1971,72
Longstreet,1971–1972,"Action, Crime, Drama",USA,8.2,353,tt0066681,1971,82
The Man and the City,1971–1972,Drama,USA,9.4,128,tt0066683,1971,94
Masterpiece Classic,1971–,"Drama, Romance",USA,8.5,337,tt0066684,1971,85
McMillan & Wife,1971–1977,"Crime, Drama, Mystery",USA,7.2,"1,726",tt0066685,1971,72
The New Dick Van Dyke Show,1971–1974,Comedy,USA,7,167,tt0066689,1971,70
Nichols,1971–1972,Western,USA,8.1,180,tt0066690,1971,81
"Owen Marshall, Counselor at Law",1971–1974,Drama,USA,7.2,180,tt0066696,1971,72
The Pebbles and Bamm-Bamm Show,1971–1976,"Animation, Comedy, Family",USA,5.8,351,tt0066699,1971,58
The Persuaders!,1971–1972,"Action, Adventure, Comedy",UK,8.1,"4,119",tt0066701,1971,81
Prosjaci i sinovi,1971–,"Comedy, Drama",Yugoslavia,8.5,765,tt0066704,1971,85
"Sabrina, the Teenage Witch",1971–1974,"Animation, Comedy, Family",USA,7.2,144,tt0066707,1971,72
The Sonny and Cher Comedy Hour,1971–1974,"Comedy, Music",USA,7.2,609,tt0066717,1971,72
The Two Ronnies,1971–1987,Comedy,UK,7.8,"2,417",tt0066721,1971,78
"Upstairs, Downstairs",1971–1975,Drama,UK,8.4,"2,353",tt0066722,1971,84
The Adventures of Black Beauty,1972–1974,"Adventure, Family",UK,6.7,269,tt0068030,1972,67
The Amazing Chan and the Chan Clan,1972–,"Animation, Family, Mystery",USA,6.7,119,tt0068037,1972,67
Anna and the King,1972–,"Comedy, Romance",USA,7.4,343,tt0068039,1972,74
Are You Being Served?,1972–1985,Comedy,UK,8.1,"6,027",tt0068040,1972,81
Arthur of the Britons,1972–1973,Adventure,UK,8.2,103,tt0068041,1972,82
Banacek,1972–1974,"Crime, Drama, Mystery",USA,7.6,"1,006",tt0068044,1972,76
The Bob Newhart Show,1972–1978,Comedy,USA,8.1,"4,030",tt0068049,1972,81
The Brady Kids,1972–1973,"Animation, Comedy, Family",USA,6.7,98,tt0068051,1972,67
Bridget Loves Bernie,1972–1973,Comedy,USA,6.2,107,tt0068053,1972,62
Colditz,1972–1974,"Drama, History, War",UK,8.5,595,tt0068059,1972,85
The David Steinberg Show,1972–,Comedy,"USA, Canada",6.9,37,tt0068063,1972,69
Doctor in Charge,1972–1973,Comedy,UK,8,93,tt0068065,1972,80
Emergency!,1972–1979,"Action, Adventure, Comedy, Drama",USA,7.9,"3,213",tt0068067,1972,79
Emmerdale,1972–,"Drama, Romance",UK,4.8,"2,201",tt0068069,1972,48
Fat Albert and the Cosby Kids,1972–1985,"Animation, Comedy, Family",USA,6.9,"1,746",tt0068072,1972,69
Circle of Fear,1972–1973,"Horror, Thriller",USA,7.9,281,tt0068074,1972,79
Hec Ramsey,1972–1974,Western,USA,8,173,tt0068077,1972,80
Huset på Christianshavn,1970–1977,"Comedy, Family",Denmark,7.6,588,tt0068081,1970,76
Josie and the Pussy Cats in Outer Space,1972–1974,"Animation, Family",USA,7.6,98,tt0068088,1972,76
The Julie Andrews Hour,1972–1973,Music,USA,8.9,101,tt0068089,1972,89
Kung Fu,1972–1975,"Adventure, Drama, Western",USA,7.8,"4,593",tt0068093,1972,78
Love Thy Neighbour,1972–1976,Comedy,UK,7,420,tt0068096,1972,70
M*A*S*H,1972–1983,"Comedy, Drama, War",USA,8.3,"46,202",tt0068098,1972,83
Maude,1972–1978,Comedy,USA,7.2,"2,823",tt0068103,1972,72
The New Scooby-Doo Movies,1972–1973,"Animation, Comedy, Family, Mystery",USA,7.7,"3,403",tt0068112,1972,77
The Paul Lynde Show,1972–1973,Comedy,USA,7.1,52,tt0068118,1972,71
The Price Is Right,1972–,"Family, Game-Show",USA,7.7,"2,804",tt0068120,1972,77
The Protectors,1972–1973,"Adventure, Crime",UK,7.1,215,tt0068122,1972,71
The Rookies,1972–1976,"Crime, Drama",USA,6.9,704,tt0068126,1972,69
Sanford and Son,1972–1977,Comedy,USA,7.9,"6,672",tt0068128,1972,79
Sealab 2020,1972,"Animation, Family, Sci-Fi",USA,6.5,122,tt0068129,1972,65
Search,1972–1973,Adventure,USA,8.2,206,tt0068131,1972,82
The Sixth Sense,1972,"Drama, Mystery, Thriller",USA,6.4,295,tt0068132,1972,64
The Streets of San Francisco,1972–1977,"Action, Crime, Drama, Mystery",USA,7.3,"4,343",tt0068135,1972,73
The Swiss Family Robinson,1976–,"Adventure, Family",Canada,7.4,83,tt0068137,1976,74
Ultraman,1972–,Sci-Fi,Japan,7.6,340,tt0068145,1972,76
Wait Till Your Father Gets Home,1972–1974,"Animation, Comedy",USA,7.9,419,tt0068148,1972,79
The Waltons,1971–1981,"Drama, Family, Romance",USA,7.6,"4,779",tt0068149,1971,76
Gatchaman,1972–1974,"Action, Animation, Sci-Fi",Japan,8,339,tt0068792,1972,80
The Addams Family,1973,"Animation, Comedy",USA,6.9,648,tt0069554,1973,69
Barnaby Jones,1973–1980,"Crime, Drama, Mystery",USA,6.9,"1,736",tt0069557,1973,69
Doraemon,1979–2005,"Animation, Comedy, Family, Sci-Fi, Sport",Japan,7.8,"2,122",tt0069576,1979,78
Dusty's Trail,1973–,"Comedy, Western",USA,5.7,142,tt0069577,1973,57
Father Brown,1974–,"Crime, Drama, Mystery",UK,7.1,238,tt0069582,1974,71
Fem myror är fler än fyra elefanter,1973–,"Comedy, Family",Sweden,8.1,619,tt0069583,1973,81
The Girl with Something Extra,1973–1974,Comedy,USA,7.3,96,tt0069585,1973,73
"Inch High, Private Eye",1973–,"Animation, Mystery, Comedy",USA,6.8,153,tt0069595,1973,68
Klimbim,1973–1979,"Comedy, Music",West Germany,7.5,117,tt0069598,1973,75
Kojak,1973–1978,"Action, Crime, Drama, Mystery, Thriller",USA,7.1,"5,580",tt0069599,1973,71
Last of the Summer Wine,1973–,Comedy,UK,7,"2,082",tt0069602,1973,70
Lotsa Luck,1973–1974,Comedy,USA,7.6,60,tt0069603,1973,76
The Magician,1973–1974,"Adventure, Drama",USA,7.6,294,tt0069606,1973,76
Man About the House,1973–1976,Comedy,UK,7.3,905,tt0069607,1973,73
Match Game,1973–1982,"Comedy, Game-Show",USA,8.3,"1,464",tt0069608,1973,83
Moonbase 3,1973–,"Drama, Sci-Fi",UK,7.1,99,tt0069611,1973,71
